Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.003004	0.140179  	0.130287  	0.110525  	0.110525  	0.00564067	0.00564067	0.00044199	0.000707098	0.000324512
0.003006	0.14026   	0.130359  	0.110588  	0.110588  	0.00564117	0.00564117	0.000442361	0.00070768	0.000324792
0.003009	0.14034   	0.130431  	0.110651  	0.110651  	0.00564166	0.00564166	0.000442733	0.000708262	0.000325072
0.003011	0.14042   	0.130502  	0.110714  	0.110714  	0.00564216	0.00564216	0.000443104	0.000708844	0.000325352
0.003013	0.140501  	0.130574  	0.110777  	0.110777  	0.00564265	0.00564265	0.000443476	0.000709426	0.000325632
0.003015	0.140581  	0.130646  	0.11084   	0.11084   	0.00564315	0.00564315	0.000443847	0.000710008	0.000325912
0.003017	0.140661  	0.130717  	0.110903  	0.110903  	0.00564365	0.00564365	0.000444219	0.00071059	0.000326192
0.003019	0.140742  	0.130789  	0.110966  	0.110966  	0.00564414	0.00564414	0.00044459	0.000711172	0.000326472
0.003022	0.140822  	0.130861  	0.111029  	0.111029  	0.00564464	0.00564464	0.000444962	0.000711754	0.000326752
0.003024	0.140903  	0.130932  	0.111092  	0.111092  	0.00564513	0.00564513	0.000445333	0.000712335	0.000327032
0.003026	0.140983  	0.131004  	0.111155  	0.111155  	0.00564563	0.00564563	0.000445705	0.000712917	0.000327312
0.003028	0.141063  	0.131076  	0.111218  	0.111218  	0.00564613	0.00564613	0.000446076	0.000713499	0.000327592
0.003030	0.141144  	0.131148  	0.111281  	0.111281  	0.00564662	0.00564662	0.000446448	0.000714081	0.000327872
0.003032	0.141224  	0.131219  	0.111344  	0.111344  	0.00564712	0.00564712	0.000446819	0.000714663	0.000328152
0.003035	0.141304  	0.131291  	0.111407  	0.111407  	0.00564761	0.00564761	0.000447191	0.000715245	0.000328432
0.003037	0.141385  	0.131363  	0.111469  	0.111469  	0.00564811	0.00564811	0.000447562	0.000715827	0.000328712
0.003039	0.141465  	0.131434  	0.111532  	0.111532  	0.00564861	0.00564861	0.000447934	0.000716409	0.000328992
0.003041	0.141546  	0.131506  	0.111595  	0.111595  	0.0056491 	0.0056491 	0.000448305	0.000716991	0.000329272
0.003043	0.141626  	0.131578  	0.111658  	0.111658  	0.0056496 	0.0056496 	0.000448677	0.000717572	0.000329552
0.003045	0.141706  	0.131649  	0.111721  	0.111721  	0.0056501 	0.0056501 	0.000449048	0.000718154	0.000329832
0.003048	0.141787  	0.131721  	0.111784  	0.111784  	0.00565059	0.00565059	0.00044942	0.000718736	0.000330112
0.003050	0.141867  	0.131793  	0.111847  	0.111847  	0.00565109	0.00565109	0.000449791	0.000719318	0.000330392
0.003052	0.141947  	0.131865  	0.11191   	0.11191   	0.00565158	0.00565158	0.000450163	0.0007199 	0.000330672
0.003054	0.142028  	0.131936  	0.111973  	0.111973  	0.00565208	0.00565208	0.000450534	0.000720482	0.000330952
0.003056	0.142108  	0.132008  	0.112036  	0.112036  	0.00565258	0.00565258	0.000450906	0.000721064	0.000331232
0.003058	0.142188  	0.13208   	0.112099  	0.112099  	0.00565307	0.00565307	0.000451277	0.000721646	0.000331512
0.003061	0.142269  	0.132151  	0.112162  	0.112162  	0.00565357	0.00565357	0.000451649	0.000722227	0.000331792
0.003063	0.142349  	0.132223  	0.112225  	0.112225  	0.00565406	0.00565406	0.00045202	0.000722809	0.000332072
0.003065	0.14243   	0.132295  	0.112288  	0.112288  	0.00565456	0.00565456	0.000452392	0.000723391	0.000332352
0.003067	0.14251   	0.132366  	0.112351  	0.112351  	0.00565506	0.00565506	0.000452763	0.000723973	0.000332632
0.003069	0.14259   	0.132438  	0.112414  	0.112414  	0.00565555	0.00565555	0.000453135	0.000724555	0.000332912
0.003071	0.142671  	0.13251   	0.112477  	0.112477  	0.00565605	0.00565605	0.000453506	0.000725137	0.000333192
0.003074	0.142751  	0.132582  	0.11254   	0.11254   	0.00565654	0.00565654	0.000453878	0.000725719	0.000333472
0.003076	0.142831  	0.132653  	0.112602  	0.112602  	0.00565704	0.00565704	0.000454249	0.000726301	0.000333752
0.003078	0.142912  	0.132725  	0.112665  	0.112665  	0.00565754	0.00565754	0.000454621	0.000726883	0.000334032
0.003080	0.142992  	0.132797  	0.112728  	0.112728  	0.00565803	0.00565803	0.000454992	0.000727464	0.000334312
0.003082	0.143073  	0.132868  	0.112791  	0.112791  	0.00565853	0.00565853	0.000455364	0.000728046	0.000334592
0.003084	0.143153  	0.13294   	0.112854  	0.112854  	0.00565902	0.00565902	0.000455735	0.000728628	0.000334872
0.003087	0.143233  	0.133012  	0.112917  	0.112917  	0.00565952	0.00565952	0.000456107	0.00072921	0.000335152
0.003089	0.143314  	0.133083  	0.11298   	0.11298   	0.00566002	0.00566002	0.000456478	0.000729792	0.000335432
0.003091	0.143394  	0.133155  	0.113043  	0.113043  	0.00566051	0.00566051	0.00045685	0.000730374	0.000335712
0.003093	0.143474  	0.133227  	0.113106  	0.113106  	0.00566101	0.00566101	0.000457221	0.000730956	0.000335992
0.003095	0.143555  	0.133299  	0.113169  	0.113169  	0.00566151	0.00566151	0.000457593	0.000731538	0.000336272
0.003097	0.143635  	0.13337   	0.113232  	0.113232  	0.005662  	0.005662  	0.000457964	0.00073212	0.000336552
0.003100	0.143716  	0.133442  	0.113295  	0.113295  	0.0056625 	0.0056625 	0.000458336	0.000732701	0.000336832
0.003102	0.143796  	0.133514  	0.113358  	0.113358  	0.00566299	0.00566299	0.000458707	0.000733283	0.000337112
0.003104	0.143876  	0.133585  	0.113421  	0.113421  	0.00566349	0.00566349	0.000459079	0.000733865	0.000337392
0.003106	0.143957  	0.133657  	0.113484  	0.113484  	0.00566399	0.00566399	0.00045945	0.000734447	0.000337672
0.003108	0.144037  	0.133729  	0.113547  	0.113547  	0.00566448	0.00566448	0.000459822	0.000735029	0.000337952
0.003110	0.144117  	0.1338    	0.11361   	0.11361   	0.00566498	0.00566498	0.000460193	0.000735611	0.000338232
0.003112	0.144198  	0.133872  	0.113672  	0.113672  	0.00566547	0.00566547	0.000460565	0.000736193	0.000338512
0.003115	0.144278  	0.133944  	0.113735  	0.113735  	0.00566597	0.00566597	0.000460936	0.000736775	0.000338792
0.003117	0.144358  	0.134016  	0.113798  	0.113798  	0.00566647	0.00566647	0.000461308	0.000737357	0.000339072
0.003119	0.144439  	0.134087  	0.113861  	0.113861  	0.00566696	0.00566696	0.000461679	0.000737938	0.000339352
0.003121	0.144519  	0.134159  	0.113924  	0.113924  	0.00566746	0.00566746	0.000462051	0.00073852	0.000339632
0.003123	0.1446    	0.134231  	0.113987  	0.113987  	0.00566795	0.00566795	0.000462422	0.000739102	0.000339912
0.003125	0.14468   	0.134302  	0.11405   	0.11405   	0.00566845	0.00566845	0.000462794	0.000739684	0.000340192
0.003128	0.14476   	0.134374  	0.114113  	0.114113  	0.00566895	0.00566895	0.000463165	0.000740266	0.000340472
0.003130	0.144841  	0.134446  	0.114176  	0.114176  	0.00566944	0.00566944	0.000463537	0.000740848	0.000340752
0.003132	0.144921  	0.134517  	0.114239  	0.114239  	0.00566994	0.00566994	0.000463908	0.00074143	0.000341032
0.003134	0.145001  	0.134589  	0.114302  	0.114302  	0.00567043	0.00567043	0.00046428	0.000742012	0.000341312
0.003136	0.145082  	0.134661  	0.114365  	0.114365  	0.00567093	0.00567093	0.000464651	0.000742594	0.000341592
0.003138	0.145162  	0.134732  	0.114428  	0.114428  	0.00567143	0.00567143	0.000465023	0.000743175	0.000341872
0.003141	0.145243  	0.134804  	0.114491  	0.114491  	0.00567192	0.00567192	0.000465394	0.000743757	0.000342152
0.003143	0.145323  	0.134876  	0.114554  	0.114554  	0.00567242	0.00567242	0.000465766	0.000744339	0.000342432
0.003145	0.145403  	0.134948  	0.114617  	0.114617  	0.00567291	0.00567291	0.000466137	0.000744921	0.000342712
0.003147	0.145484  	0.135019  	0.11468   	0.11468   	0.00567341	0.00567341	0.000466509	0.000745503	0.000342992
0.003149	0.145564  	0.135091  	0.114743  	0.114743  	0.00567391	0.00567391	0.00046688	0.000746085	0.000343272
