 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Aluminum

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.70 GeV   9.292E-03  2.311E-06  427.12 mm    15.52 mm     6.99 mm  
   1.80 GeV   9.056E-03  2.192E-06  467.44 mm    16.56 mm     7.59 mm  
   2.00 GeV   8.659E-03  1.988E-06  551.00 mm    20.40 mm     8.82 mm  
   2.25 GeV   8.267E-03  1.782E-06  660.32 mm    25.66 mm    10.38 mm  
   2.50 GeV   7.959E-03  1.616E-06  774.35 mm    30.37 mm    11.97 mm  
   2.75 GeV   7.713E-03  1.479E-06  892.40 mm    34.71 mm    13.58 mm  
   3.00 GeV   7.513E-03  1.365E-06    1.01 m     38.80 mm    15.19 mm  
   3.25 GeV   7.348E-03  1.267E-06    1.14 m     42.66 mm    16.81 mm  
   3.50 GeV   7.211E-03  1.183E-06    1.27 m     46.36 mm    18.42 mm  
   3.75 GeV   7.097E-03  1.109E-06    1.39 m     49.89 mm    20.02 mm  
   4.00 GeV   7.000E-03  1.044E-06    1.53 m     53.29 mm    21.62 mm  
   4.50 GeV   6.848E-03  9.361E-07    1.79 m     65.43 mm    24.77 mm  
   5.00 GeV   6.737E-03  8.486E-07    2.07 m     76.03 mm    27.86 mm  
   5.50 GeV   6.655E-03  7.765E-07    2.34 m     85.58 mm    30.88 mm  
   6.00 GeV   6.594E-03  7.161E-07    2.62 m     94.34 mm    33.84 mm  
   6.50 GeV   6.550E-03  6.646E-07    2.90 m    102.48 mm    36.72 mm  
   7.00 GeV   6.517E-03  6.202E-07    3.19 m    110.12 mm    39.54 mm  
   8.00 GeV   6.477E-03  5.475E-07    3.76 m    136.57 mm    44.96 mm  
   9.00 GeV   6.461E-03  4.905E-07    4.33 m    158.85 mm    50.12 mm  
  10.00 GeV   6.460E-03  4.445E-07    4.90 m    178.43 mm    55.03 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.7019E+01                 eV / Angstrom 
  2.7019E+02                keV / micron   
  2.7019E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.4804E+01                 eV / (1E15 atoms/cm2)
  4.2051E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
