 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Boron

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  25.00 MeV   2.237E-01  1.091E-04  269.38 um    11.26 um     3.48 um  
  27.50 MeV   2.072E-01  1.001E-04  318.77 um    13.29 um     4.09 um  
  30.00 MeV   1.933E-01  9.252E-05  371.91 um    15.31 um     4.74 um  
  32.50 MeV   1.812E-01  8.607E-05  428.74 um    17.33 um     5.43 um  
  35.00 MeV   1.707E-01  8.049E-05  489.21 um    19.38 um     6.17 um  
  37.50 MeV   1.614E-01  7.562E-05  553.28 um    21.44 um     6.95 um  
  40.00 MeV   1.531E-01  7.133E-05  620.92 um    23.53 um     7.77 um  
  45.00 MeV   1.392E-01  6.411E-05  766.62 um    31.38 um     9.52 um  
  50.00 MeV   1.277E-01  5.827E-05  926.15 um    38.76 um    11.44 um  
  55.00 MeV   1.182E-01  5.344E-05    1.10 mm    45.97 um    13.50 um  
  60.00 MeV   1.101E-01  4.938E-05    1.29 mm    53.12 um    15.72 um  
  65.00 MeV   1.031E-01  4.591E-05    1.49 mm    60.30 um    18.09 um  
  70.00 MeV   9.703E-02  4.292E-05    1.70 mm    67.53 um    20.60 um  
  80.00 MeV   8.699E-02  3.800E-05    2.16 mm    94.35 um    26.05 um  
  90.00 MeV   7.901E-02  3.413E-05    2.67 mm   119.33 um    32.06 um  
 100.00 MeV   7.250E-02  3.100E-05    3.24 mm   143.70 um    38.60 um  
 110.00 MeV   6.708E-02  2.842E-05    3.85 mm   167.95 um    45.68 um  
 120.00 MeV   6.250E-02  2.625E-05    4.50 mm   192.32 um    53.26 um  
 130.00 MeV   5.856E-02  2.439E-05    5.21 mm   216.92 um    61.35 um  
 140.00 MeV   5.515E-02  2.279E-05    5.95 mm   241.81 um    69.93 um  
 150.00 MeV   5.216E-02  2.140E-05    6.75 mm   267.04 um    78.99 um  
 160.00 MeV   4.951E-02  2.017E-05    7.59 mm   292.61 um    88.53 um  
 170.00 MeV   4.716E-02  1.908E-05    8.47 mm   318.54 um    98.52 um  
 180.00 MeV   4.504E-02  1.810E-05    9.39 mm   344.83 um   108.97 um  
 200.00 MeV   4.141E-02  1.644E-05   11.36 mm   444.46 um   131.21 um  
 225.00 MeV   3.771E-02  1.475E-05   14.05 mm   586.59 um   161.43 um  
 250.00 MeV   3.471E-02  1.339E-05   16.99 mm   720.46 um   194.23 um  
 275.00 MeV   3.222E-02  1.227E-05   20.17 mm   850.91 um   229.51 um  
 300.00 MeV   3.012E-02  1.132E-05   23.58 mm   980.05 um   267.18 um  
 325.00 MeV   2.832E-02  1.052E-05   27.23 mm     1.11 mm   307.15 um  
 350.00 MeV   2.676E-02  9.823E-06   31.09 mm     1.24 mm   349.33 um  
 375.00 MeV   2.540E-02  9.217E-06   35.17 mm     1.37 mm   393.66 um  
 400.00 MeV   2.421E-02  8.685E-06   39.46 mm     1.50 mm   440.06 um  
 450.00 MeV   2.219E-02  7.790E-06   48.64 mm     1.99 mm   538.81 um  
 500.00 MeV   2.055E-02  7.068E-06   58.60 mm     2.44 mm   645.06 um  
 550.00 MeV   1.920E-02  6.472E-06   69.31 mm     2.88 mm   758.32 um  
 600.00 MeV   1.806E-02  5.972E-06   80.73 mm     3.30 mm   878.17 um  
 650.00 MeV   1.709E-02  5.546E-06   92.84 mm     3.73 mm     1.00 mm  
 700.00 MeV   1.625E-02  5.178E-06  105.60 mm     4.15 mm     1.14 mm  
 800.00 MeV   1.488E-02  4.576E-06  132.96 mm     5.68 mm     1.42 mm  
 900.00 MeV   1.381E-02  4.102E-06  162.63 mm     7.07 mm     1.72 mm  
   1.00 GeV   1.295E-02  3.721E-06  194.45 mm     8.39 mm     2.03 mm  
   1.10 GeV   1.223E-02  3.406E-06  228.26 mm     9.67 mm     2.36 mm  
   1.20 GeV   1.164E-02  3.141E-06  263.91 mm    10.92 mm     2.71 mm  
   1.30 GeV   1.114E-02  2.916E-06  301.28 mm    12.14 mm     3.07 mm  
   1.40 GeV   1.071E-02  2.722E-06  340.24 mm    13.35 mm     3.44 mm  
   1.50 GeV   1.033E-02  2.553E-06  380.69 mm    14.53 mm     3.81 mm  
   1.60 GeV   1.001E-02  2.404E-06  422.53 mm    15.71 mm     4.20 mm  
   1.70 GeV   9.718E-03  2.273E-06  465.68 mm    16.86 mm     4.59 mm  
   1.80 GeV   9.463E-03  2.155E-06  510.04 mm    18.01 mm     4.99 mm  
   2.00 GeV   9.033E-03  1.954E-06  602.08 mm    22.25 mm     5.81 mm  
   2.25 GeV   8.607E-03  1.751E-06  722.72 mm    28.07 mm     6.86 mm  
   2.50 GeV   8.271E-03  1.587E-06  848.79 mm    33.28 mm     7.93 mm  
   2.75 GeV   8.002E-03  1.452E-06  979.53 mm    38.10 mm     9.01 mm  
   3.00 GeV   7.782E-03  1.339E-06    1.11 m     42.63 mm    10.10 mm  
   3.25 GeV   7.600E-03  1.242E-06    1.25 m     46.94 mm    11.19 mm  
   3.50 GeV   7.448E-03  1.159E-06    1.39 m     51.05 mm    12.28 mm  
   3.75 GeV   7.319E-03  1.087E-06    1.54 m     54.99 mm    13.38 mm  
   4.00 GeV   7.210E-03  1.023E-06    1.68 m     58.79 mm    14.46 mm  
   4.50 GeV   7.036E-03  9.167E-07    1.98 m     72.44 mm    16.62 mm  
   5.00 GeV   6.906E-03  8.307E-07    2.29 m     84.37 mm    18.74 mm  
   5.50 GeV   6.808E-03  7.598E-07    2.60 m     95.14 mm    20.82 mm  
   6.00 GeV   6.732E-03  7.004E-07    2.91 m    105.05 mm    22.86 mm  
   6.50 GeV   6.674E-03  6.499E-07    3.23 m    114.28 mm    24.85 mm  
   7.00 GeV   6.629E-03  6.063E-07    3.55 m    122.95 mm    26.81 mm  
   8.00 GeV   6.568E-03  5.350E-07    4.19 m    153.14 mm    30.58 mm  
   9.00 GeV   6.534E-03  4.791E-07    4.84 m    178.63 mm    34.20 mm  
  10.00 GeV   6.516E-03  4.340E-07    5.50 m    201.09 mm    37.65 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3501E+01                 eV / Angstrom 
  2.3501E+02                keV / micron   
  2.3501E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.7952E+01                 eV / (1E15 atoms/cm2)
  1.6676E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
